,passenger_count,Year,Month,Date,Day,Hour,distance,Predicted_Fare
0,1,2015,1,27,1,13,1.200946073,2.375433585
1,1,2015,1,27,1,13,1.231204503,2.39413478
2,1,2011,10,8,5,11,0.481578797,1.680705026
3,1,2012,12,1,5,21,1.08553803,2.218272174
4,1,2012,12,1,5,21,1.85431184,2.786594891
5,1,2012,12,1,5,21,1.440438945,2.403618859
6,1,2011,10,6,3,12,0.657313406,1.820921828
7,1,2011,10,6,3,12,3.115296019,3.96898477
8,1,2011,10,6,3,12,1.583907096,2.468156572
9,1,2014,2,18,1,15,0.741839202,2.01024554
10,1,2014,2,18,1,15,1.199267299,2.352452266
11,1,2014,2,18,1,15,1.761159135,2.873619427
12,1,2010,3,29,0,20,0.543875242,1.723261153
13,1,2010,3,29,0,20,0.984137451,2.020088858
14,1,2011,10,6,3,3,1.253914403,2.23812204
15,1,2011,10,6,3,3,1.810806119,2.60604378
16,1,2012,7,15,6,16,0.261470049,1.734408086
17,1,2012,7,15,6,16,1.261622878,2.321358128
18,1,2012,7,15,6,16,0.576863034,1.8107951
19,1,2012,7,15,6,16,0.355771911,1.734408086
20,1,2014,10,29,2,2,0.975293523,2.086233163
21,1,2014,6,14,5,13,1.088296109,2.313458928
22,1,2014,6,14,5,13,0.835272092,2.032495328
23,1,2014,6,14,5,13,1.065157018,2.313458928
24,1,2014,6,14,5,13,1.913935853,2.950339987
25,1,2014,6,14,5,13,0.752211335,1.997916255
26,1,2014,6,14,5,13,2.728280164,3.662612852
27,1,2014,6,14,5,13,2.344482039,3.40886317
28,1,2014,6,14,5,13,0.76291978,2.009037388
29,1,2014,6,14,5,13,1.739829257,2.834514978
30,1,2014,6,14,5,13,1.361072942,2.508356324
31,1,2014,6,14,5,13,0.780279035,2.01945838
32,1,2014,6,14,5,13,0.727856091,1.997916255
33,1,2014,6,14,5,13,1.354294907,2.499867632
34,1,2014,6,14,5,13,1.116089961,2.320852691
35,1,2014,6,14,5,13,0.94138918,2.165812783
36,1,2014,6,14,5,13,0.763016134,2.009037388
37,1,2014,6,14,5,13,0.689638757,1.857508505
38,1,2014,6,14,5,13,0.943213917,2.165812783
39,1,2014,6,14,5,13,0.540297812,1.801755568
40,1,2014,6,14,5,13,2.08732177,3.011861653
41,1,2014,6,14,5,13,1.274980429,2.470181936
42,1,2014,6,14,5,13,1.981845607,2.984688197
43,1,2014,6,14,5,13,1.214338245,2.381947867
44,1,2014,6,14,5,13,0.462569715,1.756284761
45,1,2014,6,14,5,13,1.406310479,2.53582199
46,1,2014,6,14,5,13,0.632383736,1.857508505
47,1,2014,6,14,5,13,0.798398668,2.01945838
48,1,2014,6,14,5,13,0.716747323,1.997372493
49,1,2014,6,14,5,13,0.528237018,1.801755568
50,1,2014,6,14,5,13,1.390336147,2.508356324
51,1,2014,6,14,5,13,1.480507586,2.61587622
52,1,2014,6,14,5,13,1.965977668,2.984299148
53,1,2014,6,14,5,13,0.744869366,1.997916255
54,1,2014,6,14,5,13,0.849044746,2.161356563
55,1,2014,6,14,5,13,1.761784424,2.854396328
56,1,2014,6,14,5,13,1.532439547,2.65066103
57,1,2014,6,14,5,13,1.233914871,2.381947867
58,1,2014,6,14,5,13,1.568941431,2.695766447
59,1,2014,6,14,5,13,1.583514929,2.689939292
60,1,2014,6,14,5,13,0.860506357,2.119994218
61,1,2014,6,14,5,13,1.284217624,2.470181936
62,1,2014,6,14,5,13,0.570736915,1.818564888
63,1,2014,6,14,5,13,0.606154686,1.857508505
64,1,2014,6,14,5,13,0.929718295,2.165812783
65,1,2014,6,14,5,13,0.855225253,2.119994218
66,1,2014,6,14,5,13,1.303435323,2.487208833
67,1,2014,6,14,5,13,0.695242473,1.927535372
68,1,2014,6,14,5,13,0.442667176,1.756284761
69,1,2014,6,14,5,13,1.874921394,2.893927401
70,1,2014,6,14,5,13,0.802892384,2.01945838
71,1,2014,6,14,5,13,0.491385386,1.756284761
72,1,2014,6,14,5,13,1.362362289,2.508356324
73,1,2014,6,14,5,13,0.86307926,2.119994218
74,1,2014,6,14,5,13,1.245582913,2.387212383
75,1,2014,6,14,5,13,1.367200553,2.508356324
76,1,2014,6,14,5,13,2.836308,3.704950585
77,1,2014,6,14,5,13,0.274066927,1.749614967
78,1,2014,6,14,5,13,0.373554194,1.749614967
79,1,2014,6,14,5,13,0.578268328,1.827008803
80,1,2014,6,14,5,13,0.743425959,1.997916255
81,1,2014,6,14,5,13,0.730948445,1.997916255
82,1,2014,6,14,5,13,0.927596228,2.165812783
83,1,2014,6,14,5,13,1.244161679,2.387212383
84,1,2014,6,14,5,13,1.946500771,2.984299148
85,1,2014,6,14,5,13,0.816782142,2.032495328
86,1,2014,6,14,5,13,0.377446217,1.749614967
87,1,2014,6,14,5,13,0.875480217,2.119994218
88,1,2014,6,14,5,13,1.816338352,2.891236885
89,1,2014,6,14,5,13,1.261884124,2.39336285
90,1,2014,6,14,5,13,1.293883194,2.477764575
91,1,2014,6,14,5,13,1.101391909,2.313458928
92,1,2014,6,14,5,13,0.802332294,2.01945838
93,1,2014,6,14,5,13,0.793309817,2.01945838
94,1,2014,6,14,5,13,1.642288937,2.727074021
95,1,2014,6,14,5,13,1.671237861,2.730317974
96,1,2014,6,14,5,13,1.380795294,2.508356324
97,1,2014,6,14,5,13,1.596257411,2.689939292
98,1,2014,6,14,5,13,0.872777099,2.119994218
99,1,2014,6,14,5,13,1.292625809,2.477764575
100,1,2014,6,14,5,13,1.335395903,2.499867632
101,1,2014,6,14,5,13,0.804316365,2.01945838
102,1,2014,6,14,5,13,3.081976537,4.012788911
103,1,2014,6,14,5,13,0.811069098,2.032495328
104,1,2014,6,14,5,13,0.024819282,1.924921745
105,1,2014,6,14,5,13,0.456649532,1.756284761
106,1,2014,6,14,5,13,1.403989297,2.53582199
107,1,2014,6,14,5,13,1.243285096,2.387212383
108,1,2014,6,14,5,13,1.40387798,2.53582199
109,1,2014,6,14,5,13,2.356775794,3.501819232
110,1,2014,6,14,5,13,2.482488497,3.520909755
111,1,2014,6,14,5,13,1.978981983,2.984299148
112,1,2014,6,14,5,13,1.333028366,2.499867632
113,1,2014,6,14,5,13,1.216861051,2.381947867
114,1,2014,6,14,5,13,0.768973883,2.016552099
115,1,2014,6,14,5,13,1.014611202,2.27105139
116,1,2014,6,14,5,13,2.231505652,3.376658709
117,1,2014,6,14,5,13,1.362226272,2.508356324
118,1,2014,6,14,5,13,0.883278162,2.12628378
119,1,2014,6,14,5,13,1.290111374,2.473499208
120,1,2014,6,14,5,13,1.287816953,2.470181936
122,1,2014,6,14,5,13,1.11743934,2.320852691
123,1,2014,6,14,5,13,0.691617287,1.857508505
124,1,2014,6,14,5,13,0.858910054,2.119994218
125,1,2014,6,14,5,13,0.476798593,1.756284761
126,1,2014,6,14,5,13,0.951519684,2.170472855
127,1,2014,6,14,5,13,1.420489182,2.558300435
128,1,2014,6,14,5,13,0.986950534,2.246176751
129,1,2014,6,14,5,13,1.904377078,2.950339987
130,1,2014,6,14,5,13,0.672616025,1.857508505
131,1,2014,6,14,5,13,0.283859775,1.749614967
132,1,2014,6,14,5,13,0.917361437,2.165812783
133,1,2014,6,14,5,13,0.828310786,2.032495328
134,1,2014,6,14,5,13,0.865447169,2.119994218
135,1,2014,6,14,5,13,0.460568068,1.756284761
136,1,2014,6,14,5,13,1.476086159,2.61587622
137,1,2014,6,14,5,13,0.665771601,1.857508505
138,1,2014,6,14,5,13,2.101161739,3.011861653
139,1,2014,6,14,5,13,1.069035564,2.313458928
140,1,2014,6,14,5,13,0.479124367,1.756284761
141,1,2014,6,14,5,13,1.169439629,2.333753968
142,1,2014,6,14,5,13,1.09602515,2.313458928
143,1,2014,6,14,5,13,0.604409178,1.849974593
144,1,2014,6,14,5,13,0.759325051,2.003155376
145,1,2014,6,14,5,13,1.203455103,2.373812862
146,1,2014,6,14,5,13,1.30592709,2.487208833
147,1,2014,6,14,5,13,1.201529117,2.373812862
148,1,2014,6,14,5,13,1.11329703,2.320852691
149,1,2014,6,14,5,13,0.682146176,1.857508505
150,1,2014,6,14,5,13,1.373798761,2.508356324
151,1,2014,6,14,5,13,1.176527648,2.333753968
152,1,2011,12,12,0,9,0.7895722,1.901083079
153,1,2011,12,12,0,9,0.558960054,1.753398584
154,1,2011,12,12,0,9,1.606117229,2.462945923
155,1,2011,12,12,0,9,1.081938428,2.133389021
156,1,2011,12,12,0,9,1.083213533,2.133389021
157,1,2013,6,27,3,0,2.187662712,3.196129926
158,1,2013,6,27,3,0,1.482071846,2.53016192
159,1,2009,2,20,4,13,1.249643105,2.215301866
160,1,2009,2,20,4,13,1.703638818,2.573149237
161,1,2009,2,20,4,13,0.881852241,1.976791264
162,1,2010,8,22,6,21,2.387608159,3.254230554
163,1,2010,8,22,6,21,2.014066737,2.798315229
164,1,2010,8,22,6,21,0.504785524,1.689810614
165,1,2010,8,22,6,21,1.31756825,2.281248104
166,1,2012,8,6,0,8,0.254562183,1.731760409
167,1,2012,8,6,0,8,1.95078182,2.830854246
168,1,2013,11,4,0,8,0.675463176,1.861364963
169,1,2013,11,4,0,8,1.261842276,2.398548831
170,1,2013,11,4,0,8,1.222377947,2.387133848
171,1,2011,6,24,4,20,1.242278072,2.223959674
172,1,2011,6,24,4,20,2.274329513,3.179520353
173,1,2011,3,28,0,20,0.944935733,1.974317461
174,1,2011,3,28,0,20,0.24797758,1.667280825
